"Català","Castellà","Anglès"
"Mègara","Puerto España",
"Meknés","Puerto Príncipe",
"Melilla","Punakha",
"Memfis","Pyongyang",
"Mers-el-Kebir","Quito",
"Messina","Rabat",
"Milà","Ram Allah",
"Milán","Rangún",
"Minsk","Ravena",
"Mòdena","Reikiavik",
"Mogadiscio","Riad",
"Mònaco","Riga",
"Monròvia","Roma",
"Montevideo","Roseau",
"Montpeller","Ruán",
"Montpeller","Saigón",
"Moroni","Saint George's",
"Moscou","Saint John's",
"Munic","Salerno",
"Múrcia","Salzburgo",
"N'Djanema","San José",
"Nairobi","San Juan",
"Nanquín","San Marino",
"Nàpols","San Salvador",
"Nassau","San'a",
"Natzaret","Santafé de Bogotá",
"Niamey","Santiago",
"Niça","Santo Domingo",
"Nicòsia","Santo Tomé",
"Nova Delhi","Sarajevo",
"Nova Orleans","Sassari",
"Nova York","Seúl",
"Nova York","Shangai",
"Nuakchott","Singapur",
"Nuku'Alofa","Skopje",
"Nuremberg","Sofía",
"Orà","Sucre",
"Osca","Suva",
"Oslo","Taipeh",
"Ottawa","Tallin",
"Ouagadougou","Tánger",
"Ourense","Tarento",
"Oviedo","Tashkent",
"Pàdua","Tbilisi",
"Palència","Tegucigalpa",
"Palerm","Teherán",
"Palma","Tejas",
"Palma de Mallorca","Tesalónica",
"Pamplona","Thimbu",
"Panamà","Tirana",
"Paramaribo","Tokyo",
"Paris","Tréveris",
"París","Trípoli",
"Pequín","Túnez",
"Pèrgam","Turín",
"Phnom Penh","Uagadugú",
"Pireu, el","Ulan Bator",
"Pontevedra","Vaduz",
"Port Louis","Vaiaku",
"Port Moresby","Varsovia",
"Port of Spain","Vaticano",
"Port Vila","Venecia",
"Port-au-Prince","Victoria",
"Porto","Viena",
"Porto-Novo","Vientiane",
"Praga","Vilna",
"Praia","Wellington",
"Pretòria","Windhoek",
"Punakha","Yakarta",
"Pyongyang","Yamusukro",
"Quito","Yaundé",
"Rabat","Yibuti",
"Ram Al·lah","Zagreb",
"Rangun","Zúrich",
"Ravenna",,
"Reykjavík",,
"Riad",,
"Riga",,
"Roma",,
"Roma",,
"Roseau",,
"Rouen",,
"Saigon (Ciutat Ho Chi Minh)",,
"Saint George's",,
"Saint John's",,
"Salamanca",,
"Salern",,
"Salzburg",,
"San José",,
"San Juan",,
"San Marino",,
"San Salvador",,
"San'a",,
"Sant Celoni",,
"Sant Sebastià",,
"Santa Cruz de Tenerife",,
"Santafé de Bogotà",,
"Santander",,
"Santiago de Chile",,
"Santiago de Compostela",,
"Santo Domingo",,
"São Tomé",,
"Saragossa",,
"Sarajevo",,
"Sàsser",,
"Saulgau",,
"Segòvia",,
"Seül",,
"Sevilla",,
"Singapur",,
"Skopje",,
"Sofia",,
"Sòria",,
"St. Gallen",,
"Sucre",,
"Suva",,
"Taipei",,
"Taixkent",,
"Tallin",,
"Tànger",,
"Tàrent",,
"Tarragona",,
"Tbilissi",,
"Tegucigalpa",,
"Teheran",,
"Terol",,
"Tessalònica",,
"Texas",,
"Thimbu",,
"Tirana",,
"Toledo",,
"Tòquio",,
"Torí",,
"Trèveris",,
"Trípoli",,
"Tunis",,
"Ulan Bator",,
"Vaduz",,
"Vaduz",,
"Vaiaku",,
"València",,
"València",,
"Valladolid",,
"Valladolid",,
"Varsòvia",,
"Vaticà",,
"Venècia",,
"Victòria",,
"Viena",,
"Vientiane",,
"Vilanova i la Geltrú",,
"Vílnius",,
"Vitòria-Gasteiz",,
"Wellington",,
"Windhoek",,
"Xangai",,
"Yamoussoukro",,
"Yaoundé",,
"Zagreb",,
"Zamora",,
"Zuric",,
"Zürich",,
