"Núm. fotog.","Núm. ekta.","Nombre d'exemplars","Any","Autor i data de la fitxa","Bibliografia","Descripció de l'objecte","Estat de conservació","Exposicions","Lloc de procedència","Localització","updated loc.","Mides","obra gràfica =","obra original =","préstec a :","Reproduccions","Restauracions","técnica","Tècnica","Títol","Valoració Econòmica en €","vegap:","Causa de baixa i data","Objectes en relació indicacant n. registre","Edició","Editor","Exemplar","Mides planxa","Marca paper","Impressor","Tiratge","Núm. planxes","Filigrana","trad. castellano","trad. english","trad. français","trad.castellano técnica:","trad.english technique:","trad.français technique:"
"T-5009",,,1983,,,,,,,"OG","E21","54 x 40,5 cm",,"sí",,,,,"Pintura sobre paper d'estrassa","11 de setembre II","39065,7867849458",,,,,,,,,,,,,"11 de septiembre II","11th September II","11 septembre II","Pintura sobre papel de estraza","Paint on brown paper ","Peinture sur papier bulle"
"T-5016",,,1983,,,,,,,"OG","E21","54 x 40,5 cm",,"sí",,,,,"Pintura, llapis i collage sobre paper d'estrassa","11 de setembre III","39065,7867849458",,,,,,,,,,,,,"11 de septiembre III","11th September III","11 septembre III","Pintura, lápiz y collage sobre papel de estraza","Paint, pencil and collage on brown paper","Peinture, crayon et collage sur papier bulle"
"T-5055",,,1983,,,,,,,"OG","E21","54 x 40,5 cm",,"sí",,,,,"Pintura i llapis sobre paper","11 de setembre IV",,,,,,,,,,,,,,"11 de septiembre IV","11th September IV","11 septembre IV","Pintura y lápiz sobre papel","Paint and pencil on paper","Peinture et crayon sur papier "
"T-5061",,,1983,,,,,,,"OG","E21","54 x 40,5 cm",,"sí",,,,,"Pintura i llapis sobre paper d'estrassa","11 de setembre V","39065,7867849458",,,,,,,,,,,,,"11 de septiembre V","11th September V","11 septembre V ","Pintura y lápiz sobre papel de estraza","Paint and pencil on brown paper","Peinture et crayon sur papier bulle"
,,2,1989,,,"Litografia realitzada amb motiu de la celebració dels 200 anys de la Revolució Francesa, París",,,,"OG","D02","90 x 63 cm.","sí",,,,,"Litografía en varias tintas (negro, rojo, gris  y marrón claro)","Litografia en diverses tintes (negre, vermell, gris i marró clar) ","200 anys",,,,,"10 exs. P.A. n. 1/10-10/10  i s., més 10 exs. H.C. n. I/X-X/X i s.","Ministière de la Culture, de la Communication, des Grandes Travaux et du Bicentanaire, París",,,"Arches","René le Moigne a l'atelier Mourlot",,,,,,,,,
,,2,1989,,,"Litografia realitzada amb motiu de la celebració dels 200 anys de la Revolució Francesa, París",,,,"OG","D02","90 x 63 cm.","sí",,,,,"Litografía en varias tintas (negro, rojo, gris  y marrón claro)","Litografia en diverses tintes (negre, vermell, gris i marró clar) ","200 anys",,,,,"10 exs. P.A. n. 1/10-10/10  i s., més 10 exs. H.C. n. I/X-X/X i s.","Ministière de la Culture, de la Communication, des Grandes Travaux et du Bicentanaire, París",,,"Arches","René le Moigne a l'atelier Mourlot",,,,,,,,,
,,2,1976,,,,,,,"OG","B08","76 x 55,5 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","24 sur 17",,,,,"75 exs. n. i s.","Maeght, París",,,"Arches","Arte, A. Maeght, París",,,"Arches",,,,,,
,,2,1976,,,,,,,"OG","B08","76 x 55,5 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","24 sur 17",,,,,"75 exs. n. i s.","Maeght, París",,"56 x 45 cm","Arches","Arte, A. Maeght, París",,,"Arches",,,,,,
"T-4669",,,1986,,,,,,,"RP","34B","65,5 x 51,5 cm",,"sí",,,,,"Pintura i llapis sobre paper","3.","33055,665741108",,,,,,,,,,,,,"3","3","3","Pintura y lápiz sobre papel","Paint and pencil on paper","Peinture et crayon sur papier"
,,,1981,,,,,,,"OG","E07","80 x 120 cm.","sí",,,,,"Aguatinta en varias tintas y grattage","Aiguatinta en diverses tintes i grattage","375",,,,,"30 exs. n. 1/30-30/30 i s., més 15 exs. H.C. n. 1/15-15/15 y s. ","Galerie Lelong, París",,,"Arches","J. Barbarà, Barcelona",,4,"Arches",,,,,,
,,2,1972,,,,,,,"OG","B04","90 x 63 cm","sí",,,,,"Aguafuerte en gris y rojo","Aiguafort en gris i roig","4 Barres rouges",,,,,"75 exs. n. i s.","Maeght, París",,,"Arches","Arte, A. Maeght, París",,,,,,,,,
,,2,1972,,,,,,,"OG","B04","90 x 63 cm","sí",,,,,"Aguafuerte en gris y rojo","Aiguafort en gris i roig","4 Barres rouges",,,,,"75 exs. n. i s.","Maeght, París",,,"Arches","Arte, A. Maeght, París",,,,,,,,,
,,2,1986,,,,,,,"OG","C09","66 x 51,5 cm","sí",,,,,"Litografía en una tinta (negro)","Litografia en una tinta (negra)","4. Düsseldorfer Messiaen- Fest",,,,,"Tiratge ""avant la lettre""  de 100 exs. n. 1/100-100/100 i s.; 20 exs. n. I/XX-XX/XX i s., més alguns exs. P.A. s., d'un cartell editat per anunciar les manifestacions musicals organitzades a Düsseldorf en homenatge al compositor francès Olivier Messiaen (29 d'octubre - 4 de novembra de 1986)","Erker-Presse, St. Gallen",,,"Rives","Erker-Presse,  St. Gallen",,,,,,,,,
,,2,1986,,,,,,,"OG","C09","66 x 51,5 cm","sí",,,,,"Litografía en una tinta (negro)","Litografia en una tinta (negra)","4. Düsseldorfer Messiaen- Fest",,,,,"Tiratge ""avant la lettre""  de 100 exs. n. 1/100-100/100 i s.; 20 exs. n. I/XX-XX/XX i s., més alguns exs. P.A. s., d'un cartell editat per anunciar les manifestacions musicals organitzades a Düsseldorf en homenatge al compositor francès Olivier Messiaen (29 d'octubre - 4 de novembra de 1986)","Erker-Presse, St. Gallen",,,"Rives","Erker-Presse,  St. Gallen",,,,,,,,,
"T-4586",,,1980,,,,,,,"RP","34B","65,5 x 51,5 cm",,"sí",,,,,"Pintura i llapis sobre paper","7 i braç","270,4554469727",,,,,,,,,,,,,"7 y brazo","7 and Arm ","7 et bras","Pintura y lápiz sobre papel","Paint and pencil on paper","Peinture et crayon sur papier"
,,2,1979,,,,,,,"OG","C02","56 x 73 cm.","sí",,,,,"A., aguatinta y carborúndrum en varias tintas con collage","A., aiguatinta i carborúndrum en diverses tintes amb collage","70",,,,,"75 exs. n. 1/75-75/75 i s., 10 exs. H.C. s. més 10 exs. P.A. s.","Edicions Polígrafa, Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1979,,,,,,,"OG","C02","56 x 73 cm.","sí",,,,,"A., aguatinta y carborúndrum en varias tintas con collage","A., aiguatinta i carborúndrum en diverses tintes amb collage","70",,,,,"75 exs. n. 1/75-75/75 i s., 10 exs. H.C. s., més 10 exs. P.A. s.","Edicions Polígrafa S.A, Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,"Guarro",,,,,,
,,,1979,,,,,,,"OG","C02","56 x 73 cm.","sí",,,,,"A., aguatinta y carborúndrum en varias tintas con relieve","A., aiguatinta i carborúndrum en diverses tintes amb relleu","740",,,,,"75 exs. n. 1/75-75/75 i s, 10 exs. H.C. s., més 10 exs. P.A. s.","Edicions Polígrafa, Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,"Guarro",,,,,,
,,,1979,,,,,,,"OG","C02","56 x 73 cm.","sí",,,,,"A., aguatinta y carborúndrum en varias tintas con relieve","A., aiguatinta i carborúndrum en diverses tintes amb relleu","740",,,,,"75 exs. n. 1/75-75/75 i s, 10 exs. H.C. s., més 10 exs. P.A. s.","Edicions Polígrafa, Barcelona",,,"Guarro","Tallers d'Edicions Polígrafa, Barcelona",,,"Guarro",,,,,,
"T-4951",,,1978,,,,,,,"OG","II009","36 x 50,5 cm",,"sí",,,,,"Pintura i vernís sobre paper d'estrassa","8 de vernís","42070,8473068648",,,,,,,,,,,,,"8 de barniz","Varnish 8","8 au vernis","Pintura y barniz sobre papel de estraza","Paint and varnish on wrapping paper","Peinture et vernis sur papier bulle"
,,2,1976,,,,,,,"OG","E05","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado ","Aiguafort en diverses tintes amb flocat","A  damunt vermell",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1976,,,,,,,"OG","E05","56 x 76 cm.","sí",,,,,"Aguafuerte en varias tintas con flocado ","Aiguafort en diverses tintes amb flocat","A  damunt vermell",,,,,"75 exs. n. i s., més 15 exs. H.C. s.","La Polígrafa, Barcelona ",,,"Guarro","La Polígrafa, Barcelona",,,"Guarro",,,,,,
,,2,1981,,,,,,,"OG","C04","42 x 50,5 cm","sí",,,,,"Serigrafía en varias tintas","Serigrafia en diverses tintes","A + B",,,,,"75 exs. n. 1/75-75/75 i s., alguns exs. H.C. s., més alguns exemplars P.A. s.","Galeria Punto, València",,,"Arches","Taller Vallirana, Barcelona",,,"Arches",,,,,,
,,2,1981,,,,,,,"OG","C04","42 x 50,5 cm","sí",,,,,"Serigrafía en varias tintas","Serigrafia en diverses tintes","A + B",,,,,"75 exs. n. 1/75-75/75 i s., alguns exemplars H.C. s., més alguns exemplars P.A. s.","Galeria Punto, València",,,"Arches","Taller Vallirana, Barcelona",,,"Arches",,,,,,
,,2,1979,,,"Aquesta litografia il·lustra les cobertes de Derrière le miroir nº 234, catàleg de l'exposició de Tàpies a la Galerie Maeght de París (maig de 1979). El catàlèg també inclou una altra litografia a doble pàgina encartada.L'edició del catèlg consta de 150 exs. n. 1-150 i s. sobre paper vitel·la Arches, més alguns exs. H.C. De cadascuna de les litografies n'existeix, a més, un tiratge apart.",,,,"OG","C02",,"sí",,,,,"L. en varias tintas","L. en diverses tintes","A Cortázar",,,,,"75 exs. n. 1/75-75/75 i s., alguns exs. H.C. s., més alguns exs. P.A. s.","Galerie Marght, París",,,"Arches","Imprimerie Mourlot, París",,,,,,,,,
,,2,1979,,,"Aquesta litografia il·lustra les cobertes de Derrière le miroir nº 234, catàleg de l'exposició de Tàpies a la Galerie Maeght de París (maig de 1979). El catàlèg també inclou una altra litografia a doble pàgina encartada.L'edició del catèlg consta de 150 exs. n. 1-150 i s. sobre paper vitel·la Arches, més alguns exs. H.C. De cadascuna de les litografies n'existeix, a més, un tiratge apart.",,,,"OG","C02",,"sí",,,,,"L. en varias tintas","L. en diverses tintes","A Cortázar",,,,,"75 exs. n. 1/75-75/75 i s., alguns exs. H.C. s., més alguns exs. P.A. s.","Galerie Marght, París",,,"Arches","Imprimerie Mourlot, París",,,,,,,,,
,,2,1974,,,,,,,"OG","B06","63 x 90 cm.","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","A effacé",,,,,"90 exs. n. 1/90 - 90/90 i s., 40 exs. n. I/XL-XL/XL i s. Així mateix, aquesta L. es va imprimir com a cartell per a l'exposició de Tàpies a la galeria Biedermann de Munich (juny-agost 1976), i també per a l'exposició de l'artista a la galeria Dreiseitel de Colonia (març-abril 1977)","Erker-Presse, St. Gallen",,,"Rives i Arches","Erker-Presse,  St. Gallen",,,"Rives i Arches",,,,,,
,,2,1974,,,,,,,"OG","B06","63 x 90 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","A effacé",,,,,"90 exs. n. 1/90 - 90/90 i f., 40 exs. n. I/XL-XL/XL i f. Així mateix, aquesta L. es va imprimir com a cartell per l'exposició de Tàpies a la galeria Biedermann de Munich (juny-agost 1976), i també per l'exposició de l'artista a la galeria Dreiseitel de Colonia (març-abril 1977)","Erker-Presse, St. Gallen",,,"Rives i Arches","Erker-Presse,  St. Gallen",,,"Rives i Arches",,,,,,
,,2,1992,,,,,,,"OG","D06","77 x 60 cm","sí",,,,,"Resinas, técnica del azúcar, aguafuerte y carborúndum en dos tintas (marrón y blanco).","Resines, tècnica del sucre, aiguafort i carborúndum en dues tintes (marró i blanc)","A i creu",,,,,"75 exs. n. 1/75-75/75 i s., 5 exs. P.A. n. 1/5-5/5 i s.","Polígrafa Obra Gràfica S.L, Barcelona",,,"Aquari fet a mà","Tallers de Polígrafa Obra Gràfica S.L., Barcelona",,,,,,,,,
,,2,1992,,,,,,,"OG","D06","77 x 60 cm","sí",,,,,"Resinas, técnica del azúcar, aguafuerte y carborúndum en dos tintas (marrón y blanco).","Resines, tècnica del sucre, aiguafort i carborúndum en dues tintes (marró i blanc)","A i creu",,,,,"75 exs. n. 1/75-75/75 i s., 5 exs. P.A. n. 1/5-5/5 i s.","Polígrafa Obra Gràfica S.L, Barcelona",,,"Aquari fet a mà","Tallers de Polígrafa Obra Gràfica S.L., Barcelona",,,,,,,,,
"T-2033",,,1974,,,,,,,"RP","en expo","200 x 300 cm",,"sí",,,,,"Procediment mixt sobre tela","A la memòria de Salvador Puig Antich","601012,104383782",,,,,,,,,,,,,"A la memoria de Salvador Puig Antich ","In Memory of Salvador Puig Antich ","A la mémoire de Salvador Puig Antich ","Técnica mixta sobre tela","Mixed media on canvas","Technique mixte sur toile"
,,1,1976,,,,,,,"OG","B08","51,5 x 33 cm","sí",,,,,"Aguafuerte y aguatinta en varias tintas","Aiguafort i aiguatinta en diverses tintes","A, B, C, D",,,,,"50 exs. n. i s., més 15 exs. H.C. n. I/XV-XV/XV i s.","Galeria Maeght, Barcelona",,,"Auvergne","J. Barbarà, Barcelona",,,"Richard de Bas",,,,,,
,,,1984,,,"Tiratge avant la lettre d'un cartell editat amb motiu d'una exposició de Tàpies a la Galerie Lelong de París (21 de novembre de 1984 - 5 de gener de 1985)",,,,"OG","C07","90 x 60 cm.","sí",,,,,"L. en varias tintas","L. en diverses tintes","A. L. 231",,,,,"120 exs. n. 1/120-120/120 i s.","Galerie Lelong, París",,,"Rives","Atelier Lelong, París",,,"Rives",,,,,,
,,,1984,,,"Tiratge avant la lettre d'un cartell editat amb motiu d'una exposició de Tàpies a la Galerie Lelong de París (21 de novembre de 1984 - 5 de gener de 1985)",,,,"OG","C07","90 x 60 cm.","sí",,,,,"L. en varias tintas","L. en diverses tintes","A. L. 231",,,,,"120 exs. n. 1/120-120/120 i s.","Galerie Lelong, París",,,"Rives","Atelier Lelong, París",,,"Rives",,,,,,
,,,1983,,,"Tiratge avant la lettre d'un cartell editat amb motiu de l'exposició d'obres de Tàpies a l'stand de la Galerie Lelong a la FIAC 83 de París (setembre de 1983)",,,,"OG","C06","90 x 60 cm.","sí",,,,,"L. en varias tintas","L. en diverses tintes","A. L. Exposición Tàpies",,,,,"150 exs. n. 1/150-150/150 i s., 29 exs. H.C. n. I/XXIX-XXIX/XXIX i s., més 6 exs. P.A. n. I/VI-VI/VI  i s.","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,"Arches",,,,,,
,,,1982,,,,,,,"OG","C05","54 x 71 cm.","sí",,,,,"L. en varias tintas","L. en diverses tintes","A. M.",,,,,"75 exs. n. 1/75-75/75 i s., alguns exs. H.C. s., més alguns exs. P.A. s.","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,"Arches",,,,,,
,,2,1984,,,,,,,"OG","C07","90 x 60 cm.","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","A.L. 231 (Affiche avant lettre)",,,,,"Tiratge ""avant la lettre"" de 120 exs. n. 1/120-120/120 i s. d'un cartell editat amb motiu de l'exposició de Tàpies a la Galerie Lelong de París (21 de novembre de 1984 - 5 de gener de 1985)","Galerie Lelong, París",,,"Rives","Atelier Lelong, París",,,"Rives",,,,,,
,,2,1984,,,,,,,"OG","C07","90 x 60 cm.","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","A.L. 231 (Affiche avant lettre)",,,,,"Tiratge ""avant la lettre"" de 120 exs. n. 1/120-120/120 i s. d'un cartell editat amb motiu de l'exposició de Tàpies a la Galerie Lelong de París (21 de novembre de 1984 - 5 de gener de 1985)","Galerie Lelong, París",,,"Rives","Atelier Lelong, París",,,"Rives",,,,,,
,,2,1987,,,"Tiratge avant la lettre d'un cartell editat en ocasió de la Fira Internacional de l'art de Chicago (7-12 de maig 1987)",,,,"OG","E09","100,5 x 70 cm.","sí",,,,,"Litografía en varias tintas (2 negros, 2 rojos i 2 marrones)","Litografia en diverses tintes (2 negres, 2 vermells i 2 marrons)","A.L. Chicago (Affiche avant lettre)",,,,," 50 exs. n. 1/50-50/50 i f., més 25 exs. n. I/XXV-XXV/XXV s.","The Lakeside Group (amb la col·laboració de Galerie Lelong de París)",,,"Arches","Atelier Lelong, París",,,"Arches",,,,,,
,,2,1987,,,"Tiratge avant la lettre d'un cartell editat en ocasió de la Fira Internacional d' art de Chicago (7-12 de maig 1987)",,,,"OG","E09","100,5 x 70 cm.","sí",,,,,"Litografía en varias tintas (2 negros, 2 rojos i 2 marrones)","Litografia en diverses tintes (2 negres, 2 vermells i 2 marrons)","A.L. Chicago (Affiche avant lettre)",,,,," 50 exs. n. 1/50-50/50 i f., més 25 exs. n. I/XXV-XXV/XXV s.","The Lakeside Group (amb la col·laboració de Galerie Lelong de París",,,"Arches","Atelier Lelong, París",,,"Arches",,,,,,
,,2,1986,,,,,,,"OG","C09","85 x 51 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","A.L. Exposición Tàpies Sculptures",,,,,"Tiratge ""avant la lettre"" de 75 exs. n. 1/75-75/75 i s., més 8 exs. P.A. n. I/VIII-VIII/VIII i s. d'un cartell editat en ocasió de l'exposició d'escultures de l'artista a la Galerie Lelong de París (13 de novembre - 23 de desembre de 1986)","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,,,,,,,
,,2,1986,,,,,,,"OG","C09","85 x 51 cm.","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","A.L. Exposición Tàpies Sculptures",,,,,"Tiratge ""avant la lettre"" de 75 exs. n. 1/75-75/75 i s., més 8 exs. P.A. n. I/VIII-VIII/VIII i s. d'un cartell editat en ocasió de l'exposició d'escultures de l'artista a la Galerie Lelong de París (13 de novembre - 23 de desembre de 1986)","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,,,,,,,
,,2,1982,,,"Pertany a la sèrie de 2 litografies realitzada pel nº 253 de ""Derrière le miroir"" (juny de 1982). Textos de Jacques Dupin i Georges Raillard. Aquesta litografia il·lustra les portades del catàleg. Mides del catàleg: 38 x 56 cm. sobre paper no n. ni s.",,,,"OG","C05","60,7 x 78,5 cm","sí",,,,,"Litografía en varias tintas","Litografia en diverses tintes","A.T. ",,,,,"75 exs. n. i s. 1/75-75/75 i s., alguns exs. H.C s.,  més alguns exs. P.A. s. Existeix una edició independent sobre paper Arches de 150 exs. n. 1/150-150/150 i s. 
","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,"Arches",,,,,,
,,2,1982,,,,,,,"OG","C05","60,7 x 78,5 cm","sí",,,,,"Litografia en varias tintas","Litografia en diverses tintes","A.T. ",,,,,"75 exs. n. i s. 1/75-75/75 i s., alguns exs. H.C s.,  més alguns exs. P.A. s. Existeix una edició apart sobre paper Arches de 150 exs. n. 1/150-150/150 i s. Aquesta L. forma part de la sèrie de 2 L. realitzada pel nº 253 de Derrière le miroir (juny de 1982). Aquesta L. il·lustra les portades del catàleg. Mides del catàleg: 38 x 56 cm. sobre paper no n. ni s.","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,"Arches",,,,,,
,,2,1985,,,,,,,"OG","IV","75 x 75 cm","sí",,"Medellín",,,"Aguafuerte, aguatinta y carborúndum en varias tintas con relieve","Aiguafort, aiguatinta i carborúndum en diverses tintes amb relleu","A4","66,1113314822",,,,"99 exs. n. 1/99-99/99 i s., 15 exs. H.C. n. 1/15-15/15 i s., 5 exs. H.C. s. i no n., més 15 exs. P.A. n. 1/15-15/15 i s.","La Polígrafa, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,4,"Guarro",,,,,,
,,2,1985,,,,,,,"OG","C08","75 x 75 cm","sí",,,,,"Aguafuerte, aguatinta y carborúndum en varias tintas con relieve","Aiguafort, aiguatinta i carborúndum en diverses tintes amb relleu","A4",,,,,"99 exs. n. 1/99-99/99 i s., 15 exs. H.C. n. 1/15-15/15 i s., 5 exs. H.C. s. i no n., més 15 exs. P.A. n. 1/15 - 15/15 i s.","La Polígrafa, Barcelona",,,"Guarro","La Polígrafa, Barcelona",,4,"Guarro",,,,,,
,,,1972,,,,,,,"OG","E03","77 x 60 cm","sí",,,,,"Grabado al carborúndum en negro y rosa","Gravat al carborúndum en negre i rosa","Addició de petjades",,,,,"75 exs. n. i s.","La Polígrafa, Barcelona ",,,"Guarro especial","La Polígrafa, Barcelona",,,,,,,,,
"T-4758",,,1969,,,,,,,"OG","II015","24,5 x 35 cm",,"sí",,,,,"Pintura i llapis sobre paper acetat","Admiració-Interrogació III","39065,7867849458",,,,,,,,,,,,,"Admiración-Interrogación III","Exclamation Mark-Question Mark III","Exclamation-interrogation III","Pintura y lápiz sobre papel vegetal","Paint and pencil on tracing paper","Peinture et crayon sur papier calque"
,,2,1982,,,,,,,"OG","C05","96 x 64 cm","sí",,,,,"Litografía en varias tintas y barníz","Litografia en diverses tintes i vernís","Affiche avant lettre no 207",,,,,"Tiratge ""avant la lettre"" de 75 exs. n. 1/75-75/75 i s., alguns exs. H.C. s., més alguns exs. P.A. s. d'un cartell editat en ocasió de l'exposició de Tàpies a la Galerie Lelong (juny de 1982)","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,,,,,,,
,,2,1982,,,,,,,"OG","C05","96 x 64 cm","sí",,,,,"Litografía en varias tintas y barníz","Litografia en diverses tintes i vernís","Affiche avant lettre no 207",,,,,"Tiratge ""avant la lettre"" de 75 exs. n. 1/75 - 75/75 i s., alguns exs. H.C. f., més alguns exs. P.A. f. d'un cartell editat en ocasió de l'exposició de Tàpies a la Galerie Lelong (juny de 1982)","Galerie Lelong, París",,,"Arches","Atelier Lelong, París",,,,,,,,,
,,2,1989,,,,,,,"OG","D02","66,5 x 57 cm.","sí",,,,,"Aguafuerte y carborúndum en varias tintas (ocre, negro, rojo y gris) con collage y relieve","Aiguafort  i carborúndum en diverses tintes (ocre, negre, vermell i gris) amb collage i relleu","Aiguafort amb collage",,,,,"99 exs. n. 1/99 - 99/99 i s., 15 exs. P.A. n. I/XV - XV/XV i s., 15 exs. H.C. n. 1/15 - 15/15 i f., 50 exs. H.C. n. I/L - L/L i s. i 5 exs. H.C. s.","Polígrafa Obra Gràfica S.L, Barcelona",,,"Aquari fet a mà","Tallers de Polígrafa Obra Gràfica S.L., Barcelona",,,"Aquari",,,,,,
