"any","Codi arxiu digital","duració","exposició","instal.lació","núm. inventari","observacions","préstec","productor","qualitat","Realització","so","status","suport","tipus","títol"
"1999","039_FV7_C016_NI255",,"Art & Language in Practice",,255,,"Babuin, digitalització (gener 2011)",,,"Fundació Antoni Tàpies",,"2/2","VHS",,"- Art & Language ""We aim to be amateurs"" installed in the style of the Jackson Pollock Bar
- Matisse and Expression
- Art and Language"
,,,"Art & Language in Practice",,256,,"CEDIT A LA BIBLIOTECA (16/1/2001)",,,"Fundació Antoni Tàpies",,"1/2","VHS",,"- Beaubourg
- Rothko at the Tate
- Monet"
,"039_FV7_C016_NI257",,"Art & Language in Practice",,257,,"Babuin, digitalització (gener 2011)",,,"Fundació Antoni Tàpies",,"2/2","VHS",,"- Beaubourg
- Rothko at the Tate
- Monet"
,"039_FV7_C016_NI260",,"Art & Language in Practice",,260,,"Babuin, digitalització (gener 2011)",,,"Fundació Antoni Tàpies",,"1/1","VHS",,"- Frames
- Framing and Forming: Jackson Pollock
- On Pictures and Framing"
,,,"Art & Language in Practice",,258,,"CEDIT A LA BIBLIOTECA (16/1/2001)",,,"Fundació Antoni Tàpies",,"1/2","VHS",,"- Nine Gross and Conspicuous Errors
- Giotto: The Arena Chapel
- Picturing the Genders"
,"039_FV7_C016_NI259",,"Art & Language in Practice",,259,,"Babuin, digitalització (gener 2011)",,,"Fundació Antoni Tàpies",,"2/2","VHS",,"- Nine Gross and Conspicuous Errors
- Giotto: The Arena Chapel
- Picturing the Genders"
"2003
",,"1h y 30 min.","Mauquetas -sin-cualidad"," 5ª maqueta sin cualidad, 1 parte.",594,,,,"buena","Alejandra Riera","Con sonido-idioma francés","2/3","dvd .","video en color",""" Cité de femmes, images de chantiers en cours, parole de ceux qui construisent """
"2003
",,"1h y 30 min.","Mauquetas -sin-cualidad"," 5ª maqueta sin cualidad, 1 parte.",595,,,,"buena","Alejandra Riera","Con sonido-idioma francés con subtitulos al castellano.","3/3","dvd .","video en color",""" Cité de femmes, images de chantiers en cours, parole de ceux qui construisent"""
"2000
",,"3 horas.","Mauquetas -sin-cualidad"," 4ª maqueta sin cualidad.",596,,,,"Buena","Alejandra Riera","con sonido. Varios idiomas (Turco, Kurdo, francés y inglés)","1","dvd","video en color.",""" Un film non réalisable, veus partielles ""1ª parte"
"2000
",," 3 horas."," Mauquetas -sin-cualidad"," 4ª maqueta sin cualidad.",597,,,,"Buena","Alejandra Riera","con sonido, idioma francés.","1",," video en color.",""" Un filme no réalizable, vues partielle "" 2ª parte"
"2003",,"1h y 30 min.","Mauquetas -sin-cualidad"," 5ª maqueta sin cualidad, 1 parte.",670,"Còpia","Carles Guerra (13/02/2008)",,,"Alejandra Riera","V.O. francès amb subtítols en castellà",,"DVD","color","""Cité de femmes, images de chantiers en cours, parole de ceux qui construisent"""
"2003",,"1h y 30 min.","Mauquetas -sin-cualidad"," 5ª maqueta sin cualidad, 1 parte.",671,"Còpia 2",,,,"Alejandra Riera","V.O. francès amb subtítols en castellà",,"DVD","color","""Cité de femmes, images de chantiers en cours, parole de ceux qui construisent"""
" 2003
","071_FV7_C016_NI593"," 1 hora 30 min"," Maquetas-sin-cualidad",,593,,"Babuin, digitalització (gener 2011)",," Buena"," Alejandra Riera"," Con sonido. Idioma francés","1/3"," vhs","color","""Cité des femmes, images de chantiers en cours, paroles de ceux quien construisent """
"2009",,"15 min 02 s (en bucle)","Eva Hesse. Treballs de l'estudi","Nivell 2, àrea d’Arts combinatòries",741,"Briony Fer presenta l'exposició.
Loop (en bucle)",,"Camden Arts Centre, Londres","Bona","Brian Ross","V.O. en anglès, subtítols en català",,"DVD en loop","Color","""EVA HESSE. Studiowork"""
"2002
",,,"Shoot Shoot Shoot",,536,"Todas las peliculas partenecen al ciclo: ""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976"" ",,,"buena",,"con sonido","1","vhs","color y blanco y negro","""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976"""
,"058_FV4_C016_NI537",,"Shoot Shoot Shoot",,537,"todas las peliculas partenecen al ciclo: ""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  ","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,"buena","London Film Makers","con sonido y sin sonido","1/2","betacam SP L","color y blanco y negro","""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  "
,"058_FV4_C016_NI538",,"Shoot Shoot Shoot",,538,"Todas las peliculas pertenecen al ciclo: ""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  ","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,"buena","London Film Makers","con y sin sonido","2/2","betacam SP L","color y blanco y negro","""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  "
"1997-2002
","064_FV7_C016_NI534","1 h y 40 min. aprox.","Representaciones árabes contemporáneas . El Cairo",,534,,"Babuin, digitalització (gener 2011)"," Alive DV production, Sherif el Azma;townhouse (gallery of contemporary art).","buena","Hassan Khan;Sherief Mazma","con sonido; idioma arabe con subtitutlos en inglés","1","vhs","color","""the eye struck me and the lord of the throne saved me"" (1997) S. e. A.; ""this is the political film""(1998) S.e.A.; ""Donia/Amor"" (2000) S.e. A.; ""Fuck this film"" (1998) H.K; ""An interview with an housewife"" (2001) S.e. A.; ""Sometimes/Somewhere else"" (2001) H.K.; "" Stories about man and women"" (2001) H.K.; ""Fish soup"" (2001) S.e.A.; "" Six questions to the libanise"" (2001) H.K.; "" A prayer to the sound of dog"" (2001) S.e.A.; ""Technicolor mubarak"" (2001)H.K.; ""Transitions: a work in progress"" (2001) H.K.; ""100 portraits"" (2001) H.K.; "
"1989",,"28 min.","Africa Explora","Auditori",122,"L'original d'una de les dues pel.lícules que es van passar a l'auditori",,"National Museum of African Art",,"Stanlsk Media","si ","original","VHS pal","color","""Togu Na & Cheko"" Change and Continuity in The Art of Mali"
"1969",,"00:27:42 (30 min)","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",724,"14-19 de maig de 2008",,,,"Grup Medvedkine de Besançon","V.O. Subtitulada en castellà","10.1","DVD b/n","Curtmetratges. PAL, 4/3. Stereo","(Sèrie) Nouvelle société nº5 - 7"
"1976",,"00:03:45","Anna Maria Maiolino",,832,"Actors: Paulo Herkenhoff i Bruno Tauz
Fotografia: Maria do Carmo Secco

",,,"bona","Anna Maria Maiolino","no",,"DVD Loop","b/n","+ - = -"
"1999",,"00:05:59","Anna Maria Maiolino","Espai Arts combinatòries",840,"Música: Vania Dantas Leite; Veu: Marcia Taborda.
Refilmació basada en un film Super 8 realitzat originalment el 1982.",,,"Bona","Anna Maria Maiolino","Sí",,"DVD Loop","Color","+ & -"
"dels anys 30 als 60","045_FV7_C016_NI402",,"Cultures d'arxiu",,402,"Material cinematográfico privado y familiar. 31 películas rodadas y montadas por la autora entre los años treinta a los setenta; los soportes varían entre 9,5 mm y 16 mm; las latas pertenecen a un conjunto depositado en el archivo de la Filmoteca de la Generalitat de Catalunya","Babuin, digitalització (gener 2011)","Filmoteca de la Generalitat",,"Filmoteca de la Generalitat","si","1/1","VHS","color","1"
"1898, 1902, 1903, 1905, 1911, 1912",,"1- 1min 7s
2. 12min 54s
3. 16m 36s
4. 6min 45s
5. 5min 6s
6. 2min 17s
7. 1min 49s
8. 2min 51s
9. 3min 39s
10. 3min 44s
11. 10min 23s
12. 10min 37s
13. 30min 22s","Antoni Tàpies. Els llocs de l'art","Nivell -2",735,"4. No té veu en off (sí la versió en anglès)
13. Intertítols en alemany",,"Lobster Films","Bona","Georges Méliès","So i veu en off en francès",,"DVD","b/n i b/n colorejat","1. ""Un homme de tete"" (The Four Troublesome Heads), 1898. Star Film 167
2. ""Voyage dans la lune"" (A Trip to the Moon), 1902. Star Film 399-411
3. ""Le Royaume de fees"" (The Kingdom of Fairies), 1903. Star Film 483-489
4. ""Faust aux enfers"" (The Damnation of Faust), 1903. Star Film 527-533
5. ""L'Auberge du bon repos"" (The Inn Where No Man Rests), 1903. Star Film 465-469
6. ""Illusion funambulesques"" (Extraordinary Illusions), 1903. Star Film 512-513
7. ""Le chaudron infernal""(The Infernal Cauldron), 1903. Star Film 499-500
8. ""Le melomane"" (The Melomaniac), 1903. Star Film 479-480
9. ""Le tonnerre de Jupiter"" (Jupiter's Thunderballs [Thunderbolts]), 1903. Star Film 503-505
10. ""Le puits fantastique"" (The Enchanted Well), 1903. Star Film 462-464
11. ""Le raid Paris-Monte Carlo en deux heures"" (An Adventurous Automobile Trip), 1905. Star Film 740-749
12. ""Les hallucinations du Baron Munchausen"" (Baron Munchausen's Dream), 1911. Star Film - Pathé Frères
13. ""A la conquete du Pole"" (The Conquest of the Pole), 1912. Star Film - Pathé Frères"
"1898, 1902, 1903, 1905, 1911, 1912",,"1- 1min 7s
2. 12min 54s
3. 16m 36s
4. 6min 45s
5. 5min 6s
6. 2min 17s
7. 1min 49s
8. 2min 51s
9. 3min 39s
10. 3min 44s
11. 10min 23s
12. 10min 37s
13. 30min 22s","Antoni Tàpies. Els llocs de l'art","Nivell -2",736,"4. No té veu en off (sí la versió en anglès)
13. Intertítols en alemany",,"Lobster Films","Bona","Georges Méliès","So i veu en off en francès","Còpia 1/2","DVD","b/n i b/n colorejat","1. ""Un homme de tete"" (The Four Troublesome Heads), 1898. Star Film 167
2. ""Voyage dans la lune"" (A Trip to the Moon), 1902. Star Film 399-411
3. ""Le Royaume de fees"" (The Kingdom of Fairies), 1903. Star Film 483-489
4. ""Faust aux enfers"" (The Damnation of Faust), 1903. Star Film 527-533
5. ""L'Auberge du bon repos"" (The Inn Where No Man Rests), 1903. Star Film 465-469
6. ""Illusion funambulesques"" (Extraordinary Illusions), 1903. Star Film 512-513
7. ""Le chaudron infernal""(The Infernal Cauldron), 1903. Star Film 499-500
8. ""Le melomane"" (The Melomaniac), 1903. Star Film 479-480
9. ""Le tonnerre de Jupiter"" (Jupiter's Thunderballs [Thunderbolts]), 1903. Star Film 503-505
10. ""Le puits fantastique"" (The Enchanted Well), 1903. Star Film 462-464
11. ""Le raid Paris-Monte Carlo en deux heures"" (An Adventurous Automobile Trip), 1905. Star Film 740-749
12. ""Les hallucinations du Baron Munchausen"" (Baron Munchausen's Dream), 1911. Star Film - Pathé Frères
13. ""A la conquete du Pole"" (The Conquest of the Pole), 1912. Star Film - Pathé Frères"
"1898, 1902, 1903, 1905, 1911, 1912",,"1- 1min 7s
2. 12min 54s
3. 16m 36s
4. 6min 45s
5. 5min 6s
6. 2min 17s
7. 1min 49s
8. 2min 51s
9. 3min 39s
10. 3min 44s
11. 10min 23s
12. 10min 37s
13. 30min 22s","Antoni Tàpies. Els llocs de l'art","Nivell -2",737,"4. No té veu en off (sí la versió en anglès)
13. Intertítols en alemany",,"Lobster Films","Bona","Georges Méliès","So i veu en off en francès","Còpia 2/2","DVD","b/n i b/n colorejat","1. ""Un homme de tete"" (The Four Troublesome Heads), 1898. Star Film 167
2. ""Voyage dans la lune"" (A Trip to the Moon), 1902. Star Film 399-411
3. ""Le Royaume de fees"" (The Kingdom of Fairies), 1903. Star Film 483-489
4. ""Faust aux enfers"" (The Damnation of Faust), 1903. Star Film 527-533
5. ""L'Auberge du bon repos"" (The Inn Where No Man Rests), 1903. Star Film 465-469
6. ""Illusion funambulesques"" (Extraordinary Illusions), 1903. Star Film 512-513
7. ""Le chaudron infernal""(The Infernal Cauldron), 1903. Star Film 499-500
8. ""Le melomane"" (The Melomaniac), 1903. Star Film 479-480
9. ""Le tonnerre de Jupiter"" (Jupiter's Thunderballs [Thunderbolts]), 1903. Star Film 503-505
10. ""Le puits fantastique"" (The Enchanted Well), 1903. Star Film 462-464
11. ""Le raid Paris-Monte Carlo en deux heures"" (An Adventurous Automobile Trip), 1905. Star Film 740-749
12. ""Les hallucinations du Baron Munchausen"" (Baron Munchausen's Dream), 1911. Star Film - Pathé Frères
13. ""A la conquete du Pole"" (The Conquest of the Pole), 1912. Star Film - Pathé Frères"
"1898, 1902, 1903, 1905, 1911, 1912",,"1- 1min 7s
2. 12min 54s
3. 16m 36s
4. 6min 45s
5. 5min 6s
6. 2min 17s
7. 1min 49s
8. 2min 51s
9. 3min 39s
10. 3min 44s
11. 10min 23s
12. 10min 37s
13. 30min 22s","Antoni Tàpies. Els llocs de l'art","Nivell -2",738,"3. DEFECTUOSA (veu en off en francès i en anglès ES SOLAPEN)
9. ""Jupiter's THUNDERBALLS"" per ""Jupiter's THUNDERBOLTS"" 
13. Intertítols en alemany",,"Lobster Films","Bona","Georges Méliès","So i veu en off en anglès",,"DVD","b/n i b/n colorejat","1. ""Un homme de tete"" (The Four Troublesome Heads), 1898. Star Film 167
2. ""Voyage dans la lune"" (A Trip to the Moon), 1902. Star Film 399-411
3. ""Le Royaume de fees"" (The Kingdom of Fairies), 1903. Star Film 483-489
4. ""Faust aux enfers"" (The Damnation of Faust), 1903. Star Film 527-533
5. ""L'Auberge du bon repos"" (The Inn Where No Man Rests), 1903. Star Film 465-469
6. ""Illusion funambulesques"" (Extraordinary Illusions), 1903. Star Film 512-513
7. ""Le chaudron infernal""(The Infernal Cauldron), 1903. Star Film 499-500
8. ""Le melomane"" (The Melomaniac), 1903. Star Film 479-480
9. ""Le tonnerre de Jupiter"" (Jupiter's Thunderballs [Thunderbolts]), 1903. Star Film 503-505
10. ""Le puits fantastique"" (The Enchanted Well), 1903. Star Film 462-464
11. ""Le raid Paris-Monte Carlo en deux heures"" (An Adventurous Automobile Trip), 1905. Star Film 740-749
12. ""Les hallucinations du Baron Munchausen"" (Baron Munchausen's Dream), 1911. Star Film - Pathé Frères
13. ""A la conquete du Pole"" (The Conquest of the Pole), 1912. Star Film - Pathé Frères"
"1973, 1974, 1976, 1982, 1999, 2004",,,"Anna Maria Maiolino",,781,,,,"Bona","Anna Maria Maiolino","Portuguès, música",,"DVD","Color","1. Construção/Jogo, 1973 - 6'48""
2. In-Out (Antropofagia), 1973-74 - 8'14""
3. X, 1974 - 3'
4. Y, 1974 - 2'28""
5. + – = –, 1976 - 3'45"" 
6. Verso/Inversus, 1979 - 2'45""
7. Ad Hoc, 1982 - 2'45""
8. + & –, 1999 - 5'59
9. 1/3 x 2x3, 2003 - 11'38""
10. Um Momento, Por Favor, 1999/2004 - 4'14"""
"2001, 2002","068_FV7_C016_NI827","1. 01:12:50
2. 00:30:00
3. ?","Tour-ismes. La derrota de la dissensió",,827,,"Babuin, digitalització (gener 2011)",,,"Harun Farocki","1. V.O. en alemany, subtítols en anglès. 2 i 3 V.O. en català",,"VHS","color","1. Die Schöpfer der Einkaufswelten (The creators of shopping world). 01:12:50
2. Programa 30 minuts, TV3. Ciutat vella (09/06/2002). 00:30:00
3. Programa La nit al dia. Entrevista a J. Acebillo (19/11/2002)"
"2002; 2003
",,"1. 00:08:00
2. 00:03:54","Tour-ismes. La derrota de la dissensió",,564,"problema de lectura del dvd
1. Text original en anglès, subtítols en castellà
2. V.O. en castellà",,,,"Eduardo Díaz, Angelika Levi","Sí","2/2 y 1","dvd","color","1. I can't get no satisfaction, 2002
2. Hay que gastar dinero, 2003"
"2001","051_FV7_C016_NI463","1. 00:10:00
2. 00:04:00","Arquitectures del discurs i INSIDEOUT: jardí del cambalache","inauguració",463,"Ute Meta Bauer, Fareed Armaly, madeinbarcelona, Viviana Narotzky, Mika Vainio, Virginia Vilaplana (Arquitectures del discurs).
Federico Guzmán (Insideout).","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","bona","Miquel Tàpies","si","1/1","VHS","color","1. Inauguració (Arquitectures del discurs). 
2. Reportatge a la terrassa de la Fundació (El jardí del Cambalache)."
"2003","068_FV7_C006_NI806","1. Comenca a: 00:01:30
2. Comença a 00:10:27
3. Comença a 01:15:00","Tour-ismes. La derrota de la dissensió",,806,,,"BTV",,,"V.O. en castellà i català",,"VHS","color","1. Núria Enguita parla sobre Tour-ismes.
2. Einstein a la platja. Pere Arús, Antoni Casademont (Començat)
3. Einstein a la platja. Noves pestes pel segle. XXI. Albert Pahissa, Francesc Gudiol, Joaquín Contreras, Milagros Pérez Oliba.
"
"dels anys 30 als 60","045_FV7_C016_NI403",,"Cultures d'arxiu",,403,"Material cinematográfico privado y familiar. 31 películas rodadas y montadas por la autora entre los años treinta a los setenta; los soportes varían entre 9,5 mm y 16 mm; las latas pertenecen a un conjunto depositado en el archivo de la Filmoteca de la Generalitat de Catalunya","Babuin, digitalització (gener 2011)","Filmoteca de la Generalitat",,"Filmoteca de la Generalitat","si","1/1","VHS","color","2"
"dels anys 30 als 60","045_FV7_C016_NI404",,"Cultures d'arxiu",,404,"Material cinematográfico privado y familiar. 31 películas rodadas y montadas por la autora entre los años treinta a los setenta; los soportes varían entre 9,5 mm y 16 mm; las latas pertenecen a un conjunto depositado en el archivo de la Filmoteca de la Generalitat de Catalunya","NE (20/7/03)
Babuin, digitalització (gener 2011)","Filmoteca de la Generalitat",,"Filmoteca de la Generalitat","si","1/1","VHS","color","3"
"1993-97",,"13'40''","Eulalia Valldosera",,273,"És una còpia del màster que era una BETA (tornat a Eulàlia)",,,,,,"1/1","VHS",,"7 obres"
"1993-97",,"13'40''","Eulàlia Valldosera",,409,"és la còpia master",,"GHV",,,"si","1/1","Betacam SP S","color","7 obres"
"1993-1997","047_FV5_C016_NI501","13 min. 40 seg.","Eulàlia Valldosera",,501,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Fundació Antoni Tàpies","màster","Fundació Antoni Tàpies","si","1/1","Betacam SP S","color","7 obres"
"1929-1936","032_FV7_C016_NI92","93 minuts","Lázló Moholy-Nagy","auditori",92,"Berliner Stilleben, 1931 ; Marseille Vieux Port, 1929 ;Lichtspiel schwarz-weß-grau, 1930 ; Großstadtzigeuner, 1932 ; Architekturkongress, 1933 ; Life of Lobster, 1936 ; The New Architecture at the London Zoo, 1936","Babuin, digitalització (gener 2011)",,"regular (còpia sense fi a partir de màster de Gal. Alvensleben","Lázló Moholy-Nagy","mut","còpia 1","VHS PAL SECAM","b/n","7 pel.lícules de Lázlo Moholy-Nagy"
"1929-1936",,"93 minuts","Lázló Moholy-Nagy","auditori",93,"Berliner Stilleben, 1931 ; Marseille Vieux Port, 1929 ;Lichtspiel schwarz-weß-grau, 1930 ; Großstadtzigeuner, 1932 ; Architekturkongress, 1933 ; Life of Lobster, 1936 ; The New Architecture at the London Zoo, 1936","CEDIT A LA BIBLIOTECA (16/1/2001)",,"regular (còpia sense fi a partir de màster de Gal. Alvensleben","Lázló Moholy-Nagy","mut","còpia 2","VHS PAL SECAM","b/n","7 pel.lícules de Lázlo Moholy-Nagy"
"1929-1936",,"93 minuts","Lázló Moholy-Nagy","auditori",94,"Berliner Stilleben, 1931 ; Marseille Vieux Port, 1929 ;Lichtspiel schwarz-weß-grau, 1930 ; Großstadtzigeuner, 1932 ; Architekturkongress, 1933 ; Life of Lobster, 1936 ; The New Architecture at the London Zoo, 1936","Deixat al Centro de Arte Reina Sofia. Catherine Coleman. 1.10.97",,"còpia comprada a  Gal. Alvensleben","Lázló Moholy-Nagy","mut","original","VHS PAL SECAM","b/n","7 pel.lícules de Lázlo Moholy-Nagy"
"1967",,"00:44:20","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",714,"14-19 de maig de 2008",,,,"Chris Marker i Mario Marret","V.O. Subtitulada en castellà","4.1","DVD b/n","Documental. PAL, 4/3. Stereo","À bientôt, j'espère."
"1989","022_FV7_C016_NI419","29 minuts  46 segons","Els límits del museu","Museum Highlights",419,"està en anglès","Babuin, digitalització (gener 2011)","Andrea Fraser","bona",,"mono",,"VHS","color","A Gallery Talk"
"1972-1978
",,,"Entusiasme","Archive Lounge. Part 2",619,,,"Neil Cummings y Marysia Lewandowska","buena","ver campo titulo.","con sonido","1","dvd","color y blanco y  negro","A. Wieczorek ,""sphere"", 1978; F.& J. Dzida "" fable"" 1971; F.& J. Dzida ""Celebration"" 1972; A. Sienkowsky ""xyz"" 1977; W. Czarnecki ""A familiar tale"" 1973; J. Piechura ""Rally"" 1973; M. Suchecki ""Echo"" 1977; T & P Wudzki ""Mirage"" 1977; J. Bujak ""Sinking"" 1978. "
"1995, 20 gener.",,,"En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995)","activitat - concert speech",814,,,"Fundació Antoni Tàpies",,,,,,"color","Activitat - concert speech: Cinc ràdios i un lector de notícies"
"1995, 12 gener.",,,"En l'esperit de Fluxus (25 novembre 1994  - 29 gener 1995)","activitat - concert",815,,,"Fundació Antoni Tàpies",,,,,"V. 8 mm","color","Activitat - concert: Juan Hidalgo - Concierto ZAJ"
"1994, 16 desembre.",,,"En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995)","activitat - concert",811,,,"Fundació Antoni Tàpies",,,,,"V. 8 mm","color","Activitat - concert: Philip Corner - Starting from the keyboard and not necessarily stopping there: a withinstascy"
"1995, 17 gener.",,,"En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995 )","activitat - concert",813,,,"Fundació Antoni Tàpies",,,,,"V. 8 mm","color","Activitat: Music of changes i Études australes, concert a càrrec de Jean- Pierre Dupuy"
"2001","049_FV7_C016_NI500","01:03:00","INSIDEOUT: jardí del cambalache",,500,"A la terrassa de la Fundació i al Parc de la Ciutadella.","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Activitats relacionades (nens i adults) a Insideout: jardí del cambalache."
"1982",,"00:03:25","Anna Maria Maiolino",,830,"Filmat en súper-8, editat en vídeo i sonoritzat el 2000
So: Paulo Humberto Moreira
Participació especial: Paulo Bruscky
",,,"bona
","Anna Maria Maiolino","sí",,"DVD Loop","b/n","Ad Hoc"
"1994, novembre.","021_FV7_C013_NI60",,"En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995)","Reportatge dia inauguració i entrevista Manolo ",60,,"Babuin, digitalització (gener 2011)","Agència EFE",,"Agència EFE",,"còpia","VHS PAL ","color","Agència EFE - En l'esperit de Fluxus"
"1972","011_FV3_C016_NI759","00:17:55","Hélio Oiticica",,759,"Muet","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"Hélio Oiticica",,,"U-matic","sense so, PAL","Agripina é Roma - Manhattan"
"2004",,"00:52:00",,,689,"original",,"Fundació Antoni Tàpies","bona","Daniel Hernández","V.O. català. Subtítols en anglès, castellà i francès",,"DVD","Documental","Alfabet Tàpies"
"2004",,"00:52:00",,,690,"original",,"Barcelona Multimedia, Alea Televisión, TVC","bona","Daniel Hernández","V.O. català. Subtítols en anglès, castellà i francès",,"DVD","Documental","Alfabet Tàpies"
"2004",,"00:52:00",,,691,"original",,"Barcelona Multimedia, Alea Televisión, TVC","bona","Daniel Hernández","V.O. català. Subtítols en anglès, castellà i francès",,"DVD","Documental","Alfabet Tàpies"
"2004",,"00:52:00",,,706,"original
Exemplar del servei eduvatiu",,"Barcelona Multimedia, Alea Televisión, TVC",,"Daniel Hernández","V.O. català. Subtítols en anglès, castellà i francès",,"DVD","Documental","Alfabet Tàpies"
"2004",,"00:52:00",,,707,"original
Exemplar del servei educatiu",,"Barcelona Multimedia, Alea Televisión, TVC",,"Daniel Hernández","V.O. català. Subtítols en anglès, castellà i francès",,"DVD","Documental","Alfabet Tàpies"
,"054_FV7_C016_NI784","01:30:00","Representacions àrabs contemporànies. Beirut / Líban",,784,,"Babuin, digitalització (gener 2011)",,,"Akram Zaatari",,,"VHS",,"All is well on the border"
,,"01:30:00","Representacions àrabs contemporànies. Beirut / Líban",,785,,,,,"Akram Zaatari",,,"VHS",,"All is well on the border"
"2001","049_FV7_C016_NI477","15 min.","INSIDEOUT: jardí del cambalache",,477,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Amics del jardí botànic; Al calor del cambalache"
"2001",,"15 min.","INSIDEOUT: jardí del cambalache",,478,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Amics del jardí botànic; Al calor del cambalache"
"2005 (tots)",,,"Representacions àrabs contemporànies. L'equació iraquiana",,688,"ubicació: despatx de Miquel, arxiu RAC",,,"bona","Ammar Darwaza
Haris Pellapaisiotis",,,"DVD","Entrevista","An Artist With a View. Jawad Al-Assadi, Ammar Darwaza - 00:54:00
V.O. en àrab subtítols en anglès
Interview with Maath Al-Alousi, Haris Pellapaisiotis - 00:34:30
V.O. en anglès
Interview with Valentino, Haris Pellapaisiotis - 00:27:30
V.O.en anglès"
"2004",,"02:39:00","Representacions àrabs contemporànies. L'equació iraquiana",,684,"Documental
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Mirror Art Media, Jordania",,"Sawsan Darwaza","V.O. en àrab, subtítols en anglès",,"DVD",,"An Artist With a View. Saad Salman - 55'
An Artist With a View. Hana Sadek - 46'
An Artist With a View. Shawki Abdul Amir - 57'"
